SKU CODE,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb
 42-0078,,,,,,,
 16-M2-65B,,,,,,,
 16-M5-800X4,,,,,,,
 16-M2-TS,,,,,,,
 16-PMX-0,,,,,,,
 10-6641,,,,,1,,
 10-6661,,,,,,,
 10-2600-06,,1,1,1,,,
 42-0076,,,,,,,
 42-0077,,,,,,,
 20-6240-03,2,,,,,,
 20-6240-04,2,,,,,,
 42-0080,,,,,,,
 42-0081,,,,,,,
 42-0082,,,,,,,
 42-0083,,,,,,,
 42-7000,,,,,,,
 42-7009,,,,,,,
 10-9060-05,,,,,,1,
 12-03655,,,,,,,
 12-04655,,,,,,,
 99-4186,,,,,1,,
 16-P3SD4-12,,,,,,,
 09-03655,,,,,,,
 09-04655,,,,,,,
 16-46L7T102,,,,,,,
 16-CXA8001,,,,,,,
 45-7097,,,,,,,
 45-7099,,,,,,,
 45-7098,,,,,,,
 16-0050,2,2,,,,,
 10-2700-12,,,,,,,1
 10-9060-50,1,2,2,2,,4,2
 16-0059,8,8,,,,,
 10-4500-06,,,,,,,
 16-3628,,,,,,,
 45-0098,,,,,,,
 45-0099,,,,,,,
 16-P3SD2-10,,,,,,,
 36-0040,,,,,,,
 37-0040,,,,,,,
 35-0090-04,,,,,,,
 16-P1V2-65,,,,,,,
 16-P1V2-69,,,,,,,
 07-5010,,,,,,,
